op_type,device,count,time_us,time_ms,avg_us_per_call
Add,/job:localhost/replica:0/task:0/device:MUSA:0,46,780.0,0.78,16.956521739130434
AddN,/job:localhost/replica:0/task:0/device:MUSA:0,1,19.0,0.019,19.0
AddV2,/job:localhost/replica:0/task:0/device:MUSA:0,39,779.0,0.779,19.974358974358974
BatchMatMulV2,/job:localhost/replica:0/task:0/device:MUSA:0,27,382.0,0.382,14.148148148148149
Cast,/job:localhost/replica:0/task:0/device:MUSA:0,24,3549.0,3.549,147.875
ConcatV2,/job:localhost/replica:0/task:0/device:MUSA:0,129,6535.0,6.535,50.65891472868217
Const,/job:localhost/replica:0/task:0/device:MUSA:0,360,2796.0,2.796,7.766666666666667
ExpandDims,/job:localhost/replica:0/task:0/device:MUSA:0,47,4975.0,4.975,105.85106382978724
GatherV2,/job:localhost/replica:0/task:0/device:MUSA:0,40,779.0,0.779,19.475
LeakyRelu,/job:localhost/replica:0/task:0/device:MUSA:0,32,456.0,0.456,14.25
Log,/job:localhost/replica:0/task:0/device:MUSA:0,28,632.0,0.632,22.571428571428573
MatMul,/job:localhost/replica:0/task:0/device:MUSA:0,264,8170.0,8.17,30.946969696969695
Mean,/job:localhost/replica:0/task:0/device:MUSA:0,10,145.0,0.145,14.5
Mul,/job:localhost/replica:0/task:0/device:MUSA:0,22,268.0,0.268,12.181818181818182
Neg,/job:localhost/replica:0/task:0/device:MUSA:0,17,227.0,0.227,13.352941176470589
Pack,/job:localhost/replica:0/task:0/device:MUSA:0,74,32702.0,32.702,441.9189189189189
Placeholder,/job:localhost/replica:0/task:0/device:CPU:0,377,106.0,0.106,0.28116710875331563
Pow,/job:localhost/replica:0/task:0/device:MUSA:0,60,1138.0,1.138,18.966666666666665
Prod,/job:localhost/replica:0/task:0/device:MUSA:0,57,1202.0,1.202,21.087719298245613
RealDiv,/job:localhost/replica:0/task:0/device:MUSA:0,46,3068.0,3.068,66.69565217391305
RealDiv,/job:localhost/replica:0/task:0/device:CPU:0,2,2.0,0.002,1.0
Relu,/job:localhost/replica:0/task:0/device:MUSA:0,45,722.0,0.722,16.044444444444444
Reshape,/job:localhost/replica:0/task:0/device:MUSA:0,96,85.0,0.085,0.8854166666666666
Rsqrt,/job:localhost/replica:0/task:0/device:MUSA:0,29,422.0,0.422,14.551724137931034
Shape,/job:localhost/replica:0/task:0/device:MUSA:0,20,46.0,0.046,2.3
Sigmoid,/job:localhost/replica:0/task:0/device:MUSA:0,4,61.0,0.061,15.25
Slice,/job:localhost/replica:0/task:0/device:MUSA:0,890,112529.0,112.529,126.4370786516854
Softmax,/job:localhost/replica:0/task:0/device:MUSA:0,15,174.0,0.174,11.6
Split,/job:localhost/replica:0/task:0/device:MUSA:0,16,810.0,0.81,50.625
SquaredDifference,/job:localhost/replica:0/task:0/device:MUSA:0,4,93.0,0.093,23.25
StridedSlice,/job:localhost/replica:0/task:0/device:MUSA:0,37,519.0,0.519,14.027027027027026
StridedSlice,/job:localhost/replica:0/task:0/device:CPU:0,1,1.0,0.001,1.0
Sub,/job:localhost/replica:0/task:0/device:MUSA:0,44,809.0,0.809,18.386363636363637
Sub,/job:localhost/replica:0/task:0/device:CPU:0,1,1.0,0.001,1.0
Sum,/job:localhost/replica:0/task:0/device:MUSA:0,4,47.0,0.047,11.75
Tanh,/job:localhost/replica:0/task:0/device:MUSA:0,13,315.0,0.315,24.23076923076923
Tanh,/job:localhost/replica:0/task:0/device:CPU:0,1,2.0,0.002,2.0
Transpose,/job:localhost/replica:0/task:0/device:MUSA:0,12,127.0,0.127,10.583333333333334
Unknown,/job:localhost/replica:0/task:0/device:MUSA:0,1,0.0,0.0,0.0
Unknown,/job:localhost/replica:0/task:0/device:CPU:0,1,0.0,0.0,0.0
