node_name,op_type,device,time_us,time_ms
7FTwLhA5Qa,SplitV,/job:localhost/replica:0/task:0/device:MUSA:0,21640.0,21.64
6Qd03F9Klu,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,5452.0,5.452
pakQNyrlFA,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,5351.0,5.351
ArithmeticOptimizer/AddOpsRewrite_uvIxOBUcPs,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,5174.0,5.174
ArithmeticOptimizer/AddOpsRewrite_nqimusOrw7,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,5107.0,5.107
ArithmeticOptimizer/AddOpsRewrite_0iXUjfLNmy,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,5047.0,5.047
ArithmeticOptimizer/AddOpsRewrite_uVbpcqomRj,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,4929.0,4.929
ArithmeticOptimizer/AddOpsRewrite_e7EK6AT1Zf,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,4912.0,4.912
4XKnuOhVbE,ConcatV2,/job:localhost/replica:0/task:0/device:MUSA:0,2039.0,2.039
4bFIRTYHa0,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,1687.0,1.687
J8nlYktKUm,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,1623.0,1.623
Xd65tcYEqA,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,1572.0,1.572
VhpHdeIjOk,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,1535.0,1.535
RHF2dJXkn0,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,1522.0,1.522
F9yIODZSwm,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,1479.0,1.479
Qi4cNTfv1r,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,1476.0,1.476
ak4Xun9Ujx,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,1450.0,1.45
iTh8yQKoZW,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,1447.0,1.447
fR4pXQ9UHE,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,1428.0,1.428
peXIEQUHca,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,1415.0,1.415
pRoTiQWMNz,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,1392.0,1.392
6j5CumFlzv,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,1377.0,1.377
8DXPeIq4hW,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,1320.0,1.32
AvwltDUfrW,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,1302.0,1.302
oeRbuE29JQ,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,1235.0,1.235
f4xlBZ0yMU,ConcatV2,/job:localhost/replica:0/task:0/device:MUSA:0,1200.0,1.2
