op_type,device,count,time_us,time_ms,avg_us_per_call
Add,/job:localhost/replica:0/task:0/device:MUSA:0,116,2763.0,2.763,23.81896551724138
AddN,/job:localhost/replica:0/task:0/device:MUSA:0,54,63311.0,63.311,1172.4259259259259
AddV2,/job:localhost/replica:0/task:0/device:MUSA:0,131,3357.0,3.357,25.625954198473284
BatchMatMulV2,/job:localhost/replica:0/task:0/device:MUSA:0,32,1399.0,1.399,43.71875
Cast,/job:localhost/replica:0/task:0/device:CPU:0,4,18.0,0.018,4.5
Cast,/job:localhost/replica:0/task:0/device:MUSA:0,43,532.0,0.532,12.372093023255815
ConcatV2,/job:localhost/replica:0/task:0/device:MUSA:0,164,7881.0,7.881,48.05487804878049
Const,/job:localhost/replica:0/task:0/device:CPU:0,18,14.0,0.014,0.7777777777777778
Const,/job:localhost/replica:0/task:0/device:MUSA:0,173,1406.0,1.406,8.127167630057803
DiagPart,/job:localhost/replica:0/task:0/device:MUSA:0,1,22.0,0.022,22.0
Equal,/job:localhost/replica:0/task:0/device:CPU:0,1,13.0,0.013,13.0
Equal,/job:localhost/replica:0/task:0/device:MUSA:0,29,1910.0,1.91,65.86206896551724
Exp,/job:localhost/replica:0/task:0/device:MUSA:0,13,529.0,0.529,40.69230769230769
ExpandDims,/job:localhost/replica:0/task:0/device:MUSA:0,34,2588.0,2.588,76.11764705882354
Fill,/job:localhost/replica:0/task:0/device:MUSA:0,57,3138.0,3.138,55.05263157894737
GatherV2,/job:localhost/replica:0/task:0/device:MUSA:0,21,200.0,0.2,9.523809523809524
Greater,/job:localhost/replica:0/task:0/device:MUSA:0,4,371.0,0.371,92.75
Identity,/job:localhost/replica:0/task:0/device:CPU:0,1,1.0,0.001,1.0
Identity,/job:localhost/replica:0/task:0/device:MUSA:0,1,1.0,0.001,1.0
IsNan,/job:localhost/replica:0/task:0/device:MUSA:0,15,491.0,0.491,32.733333333333334
Less,/job:localhost/replica:0/task:0/device:MUSA:0,5,47.0,0.047,9.4
Log,/job:localhost/replica:0/task:0/device:MUSA:0,28,963.0,0.963,34.392857142857146
LogicalAnd,/job:localhost/replica:0/task:0/device:MUSA:0,13,889.0,0.889,68.38461538461539
LogicalNot,/job:localhost/replica:0/task:0/device:MUSA:0,2,56.0,0.056,28.0
LogicalOr,/job:localhost/replica:0/task:0/device:MUSA:0,14,199.0,0.199,14.214285714285714
MatMul,/job:localhost/replica:0/task:0/device:MUSA:0,294,8044.0,8.044,27.360544217687075
Maximum,/job:localhost/replica:0/task:0/device:MUSA:0,38,1370.0,1.37,36.05263157894737
Mean,/job:localhost/replica:0/task:0/device:CPU:0,5,3.0,0.003,0.6
Mean,/job:localhost/replica:0/task:0/device:MUSA:0,75,5203.0,5.203,69.37333333333333
Minimum,/job:localhost/replica:0/task:0/device:MUSA:0,37,1497.0,1.497,40.45945945945946
Mul,/job:localhost/replica:0/task:0/device:MUSA:0,145,5650.0,5.65,38.96551724137931
Neg,/job:localhost/replica:0/task:0/device:MUSA:0,8,150.0,0.15,18.75
NotEqual,/job:localhost/replica:0/task:0/device:MUSA:0,32,1752.0,1.752,54.75
Pack,/job:localhost/replica:0/task:0/device:MUSA:0,117,1689.0,1.689,14.435897435897436
Placeholder,/job:localhost/replica:0/task:0/device:CPU:0,1782,487.0,0.487,0.2732884399551066
Pow,/job:localhost/replica:0/task:0/device:MUSA:0,193,5177.0,5.177,26.82383419689119
Prod,/job:localhost/replica:0/task:0/device:CPU:0,12,10.0,0.01,0.8333333333333334
Prod,/job:localhost/replica:0/task:0/device:MUSA:0,138,7193.0,7.193,52.1231884057971
RandomUniform,/job:localhost/replica:0/task:0/device:MUSA:0,5,52.0,0.052,10.4
RealDiv,/job:localhost/replica:0/task:0/device:MUSA:0,203,5713.0,5.713,28.142857142857142
Relu,/job:localhost/replica:0/task:0/device:MUSA:0,120,3495.0,3.495,29.125
Reshape,/job:localhost/replica:0/task:0/device:CPU:0,17,38.0,0.038,2.235294117647059
Reshape,/job:localhost/replica:0/task:0/device:MUSA:0,466,2930.0,2.93,6.28755364806867
Rsqrt,/job:localhost/replica:0/task:0/device:MUSA:0,37,1024.0,1.024,27.675675675675677
Select,/job:localhost/replica:0/task:0/device:MUSA:0,85,5242.0,5.242,61.67058823529412
Shape,/job:localhost/replica:0/task:0/device:MUSA:0,134,296.0,0.296,2.208955223880597
Sigmoid,/job:localhost/replica:0/task:0/device:CPU:0,1,106.0,0.106,106.0
Sigmoid,/job:localhost/replica:0/task:0/device:MUSA:0,14,307.0,0.307,21.928571428571427
Sign,/job:localhost/replica:0/task:0/device:MUSA:0,9,843.0,0.843,93.66666666666667
Slice,/job:localhost/replica:0/task:0/device:MUSA:0,16,1170.0,1.17,73.125
Softmax,/job:localhost/replica:0/task:0/device:MUSA:0,5,92.0,0.092,18.4
Split,/job:localhost/replica:0/task:0/device:MUSA:0,3,80.0,0.08,26.666666666666668
SplitV,/job:localhost/replica:0/task:0/device:MUSA:0,3,21733.0,21.733,7244.333333333333
Sqrt,/job:localhost/replica:0/task:0/device:MUSA:0,2,8.0,0.008,4.0
Square,/job:localhost/replica:0/task:0/device:MUSA:0,2,17.0,0.017,8.5
SquaredDifference,/job:localhost/replica:0/task:0/device:MUSA:0,33,1103.0,1.103,33.42424242424242
Squeeze,/job:localhost/replica:0/task:0/device:MUSA:0,53,52.0,0.052,0.9811320754716981
StridedSlice,/job:localhost/replica:0/task:0/device:MUSA:0,167,9508.0,9.508,56.93413173652694
Sub,/job:localhost/replica:0/task:0/device:MUSA:0,132,3524.0,3.524,26.696969696969695
Sum,/job:localhost/replica:0/task:0/device:MUSA:0,38,997.0,0.997,26.236842105263158
Tanh,/job:localhost/replica:0/task:0/device:MUSA:0,19,339.0,0.339,17.842105263157894
Tile,/job:localhost/replica:0/task:0/device:MUSA:0,28,351.0,0.351,12.535714285714286
Transpose,/job:localhost/replica:0/task:0/device:MUSA:0,18,299.0,0.299,16.61111111111111
Unknown,/job:localhost/replica:0/task:0/device:CPU:0,1,0.0,0.0,0.0
Unknown,/job:localhost/replica:0/task:0/device:MUSA:0,1,0.0,0.0,0.0
Unpack,/job:localhost/replica:0/task:0/device:MUSA:0,49,1225.0,1.225,25.0
Where,/job:localhost/replica:0/task:0/device:CPU:0,16,70.0,0.07,4.375
ZerosLike,/job:localhost/replica:0/task:0/device:MUSA:0,7,140.0,0.14,20.0
