op_type,musa_time_us,cuda_time_us,time_us_diff_musa_minus_cuda,musa_count,cuda_count,count_diff_musa_minus_cuda
Slice,507836.0,12134.0,495702.0,1544,1544,0
AddN,109904.0,70.0,109834.0,7,7,0
BitwiseAnd,29944.0,32.0,29912.0,3,3,0
Pack,27223.0,469.0,26754.0,156,156,0
Fill,8922.0,989.0,7933.0,35,35,0
ConcatV2,9758.0,2172.0,7586.0,59,59,0
Prod,8313.0,784.0,7529.0,62,62,0
Equal,7186.0,81.0,7105.0,14,14,0
StridedSlice,6053.0,153.0,5900.0,21,21,0
Reshape,5982.0,601.0,5381.0,406,406,0
Pow,5566.0,678.0,4888.0,113,113,0
Sigmoid,4980.0,151.0,4829.0,21,21,0
Cast,3636.0,222.0,3414.0,11,13,-2
Sum,3262.0,124.0,3138.0,15,15,0
Unpack,3188.0,367.0,2821.0,102,102,0
RealDiv,3593.0,794.0,2799.0,139,139,0
Const,2990.0,235.0,2755.0,160,160,0
Mul,2622.0,305.0,2317.0,52,52,0
Greater,2148.0,56.0,2092.0,5,5,0
Select,2828.0,928.0,1900.0,37,37,0
AddV2,2075.0,335.0,1740.0,58,58,0
Sub,2174.0,575.0,1599.0,107,107,0
Mean,1418.0,157.0,1261.0,17,17,0
SquaredDifference,1381.0,165.0,1216.0,17,17,0
Add,1517.0,313.0,1204.0,52,52,0
Less,1621.0,494.0,1127.0,20,20,0
Tanh,1110.0,68.0,1042.0,9,9,0
RandomUniform,1266.0,277.0,989.0,18,18,0
Conv2D,1234.0,361.0,873.0,4,4,0
Split,577.0,227.0,350.0,12,12,0
SplitV,314.0,153.0,161.0,14,14,0
Minimum,207.0,46.0,161.0,9,9,0
Maximum,149.0,23.0,126.0,9,9,0
Rsqrt,216.0,124.0,92.0,19,19,0
Relu,361.0,274.0,87.0,33,33,0
Tile,167.0,82.0,85.0,12,12,0
BatchMatMulV2,178.0,98.0,80.0,6,6,0
Log,172.0,112.0,60.0,19,19,0
Sqrt,51.0,7.0,44.0,5,5,0
Transpose,97.0,62.0,35.0,8,8,0
Softplus,42.0,7.0,35.0,1,1,0
ZerosLike,377.0,345.0,32.0,18,18,0
ExpandDims,25.0,4.0,21.0,2,2,0
Neg,66.0,46.0,20.0,9,9,0
Round,25.0,7.0,18.0,1,1,0
Max,44.0,31.0,13.0,2,2,0
GreaterEqual,27.0,16.0,11.0,2,2,0
Softmax,44.0,34.0,10.0,2,2,0
Pad,19.0,13.0,6.0,1,1,0
Exp,37.0,31.0,6.0,5,5,0
Abs,12.0,7.0,5.0,1,1,0
Squeeze,4.0,11.0,-7.0,4,4,0
Einsum,81.0,88.0,-7.0,2,2,0
Log1p,29.0,37.0,-8.0,4,4,0
Unknown,0.0,22.0,-22.0,2,12,-10
Switch,25.0,76.0,-51.0,36,36,0
Shape,313.0,416.0,-103.0,137,137,0
Placeholder,236.0,613.0,-377.0,967,967,0
MatMul,4668.0,6652.0,-1984.0,164,164,0
__TOTAL__,778293.0,33754.0,744539.0,4770,4782,-12
