op_type,musa_time_us,cuda_time_us,time_us_diff_musa_minus_cuda,musa_count,cuda_count,count_diff_musa_minus_cuda
Slice,112529.0,22319.0,90210.0,890,890,0
Pack,32702.0,1745.0,30957.0,74,74,0
ExpandDims,4975.0,91.0,4884.0,47,47,0
Cast,3549.0,553.0,2996.0,24,24,0
RealDiv,3070.0,587.0,2483.0,48,47,1
Const,2796.0,619.0,2177.0,360,360,0
ConcatV2,6535.0,5153.0,1382.0,129,129,0
Prod,1202.0,587.0,615.0,57,57,0
Split,810.0,227.0,583.0,16,16,0
Pow,1138.0,625.0,513.0,60,60,0
AddV2,779.0,397.0,382.0,39,40,-1
Relu,722.0,354.0,368.0,45,45,0
Sub,810.0,542.0,268.0,45,45,0
Log,632.0,375.0,257.0,28,28,0
LeakyRelu,456.0,245.0,211.0,32,32,0
Add,780.0,587.0,193.0,46,46,0
Mul,268.0,186.0,82.0,22,22,0
StridedSlice,520.0,440.0,80.0,38,38,0
Tanh,317.0,252.0,65.0,14,14,0
Mean,145.0,85.0,60.0,10,10,0
SquaredDifference,93.0,43.0,50.0,4,4,0
Transpose,127.0,79.0,48.0,12,12,0
Sigmoid,61.0,23.0,38.0,4,4,0
Rsqrt,422.0,398.0,24.0,29,29,0
Sum,47.0,30.0,17.0,4,4,0
Unknown,0.0,0.0,0.0,2,2,0
Shape,46.0,50.0,-4.0,20,20,0
Neg,227.0,266.0,-39.0,17,17,0
AddN,19.0,71.0,-52.0,1,1,0
Reshape,85.0,174.0,-89.0,96,96,0
Softmax,174.0,454.0,-280.0,15,15,0
Placeholder,106.0,437.0,-331.0,377,377,0
GatherV2,779.0,2553.0,-1774.0,40,40,0
BatchMatMulV2,382.0,3466.0,-3084.0,27,27,0
MatMul,8170.0,23968.0,-15798.0,264,264,0
__TOTAL__,185473.0,67981.0,117492.0,2936,2936,0
