node_name,op_type,device,time_us,time_ms
f1gHrP3EuN,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,22218.0,22.218
vfwkMpxJd8,BitwiseAnd,/job:localhost/replica:0/task:0/device:MUSA:0,21407.0,21.407
OrtjVLMQSq,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,18386.0,18.386
5gLPWskr0B,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,17954.0,17.954
aIkneiCD2o,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,17831.0,17.831
1f0Wnr96M4,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,17274.0,17.274
YprJVeS1bA,AddN,/job:localhost/replica:0/task:0/device:MUSA:0,16227.0,16.227
ktJP4SE57Y,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,4665.0,4.665
GebSXHDvI0,BitwiseAnd,/job:localhost/replica:0/task:0/device:MUSA:0,4297.0,4.297
nAMVak4Kmo,BitwiseAnd,/job:localhost/replica:0/task:0/device:MUSA:0,4240.0,4.24
8kFmUW4f5C,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,2803.0,2.803
FN2tGv7w0r,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,2216.0,2.216
AELpXGoDSB,ConcatV2,/job:localhost/replica:0/task:0/device:MUSA:0,2062.0,2.062
P4nq8UHAfm,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,2032.0,2.032
UDS8WR1atw,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1834.0,1.834
yR468PMnOB,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1708.0,1.708
GuUHQ4EjCW,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1707.0,1.707
L8Z139MmGB,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1706.0,1.706
0xQB5fHKVe,Sigmoid,/job:localhost/replica:0/task:0/device:MUSA:0,1636.0,1.636
jGUxv2Hdcm,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1634.0,1.634
9UxY10ynuH,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1570.0,1.57
u0hkVDCWx8,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1559.0,1.559
8QTwFKJCkE,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1531.0,1.531
Mj5p0PsWzm,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1522.0,1.522
qg93FKBi6A,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1513.0,1.513
cmMYZBJWT2,ConcatV2,/job:localhost/replica:0/task:0/device:MUSA:0,1474.0,1.474
H5N27WOnVj,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1407.0,1.407
SqWBJtvguR,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1388.0,1.388
965nVWqERs,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1323.0,1.323
8CIWRXPhaq,Const,/job:localhost/replica:0/task:0/device:MUSA:0,1315.0,1.315
o1yrOdncg4,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1266.0,1.266
7KJWUH6uO0,Reshape,/job:localhost/replica:0/task:0/device:MUSA:0,1203.0,1.203
CjZg2rT1M3,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1203.0,1.203
tlWJBoXkuz,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1202.0,1.202
EPHl6oIqfS,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1194.0,1.194
hqbowCp9JQ,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1181.0,1.181
G46iNSQ2Po,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1181.0,1.181
2OPszCmy3N,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1180.0,1.18
udGkSymo9O,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1180.0,1.18
oAS4EIBkdN,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1179.0,1.179
iPY10UzdBv,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1178.0,1.178
Fs4rUHYToR,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1178.0,1.178
hBrmbuLzqx,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1177.0,1.177
xt6pDjS3G5,StridedSlice,/job:localhost/replica:0/task:0/device:MUSA:0,1177.0,1.177
iZbmCVHljf,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1176.0,1.176
eW2k6J8Bip,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1175.0,1.175
zNMZ9FRWQX,Conv2D,/job:localhost/replica:0/task:0/device:MUSA:0,1175.0,1.175
5F8CneJm1u,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1174.0,1.174
azpSDv19JU,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1173.0,1.173
L8egv3nT6c,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1173.0,1.173
w8OQbif3NR,Prod,/job:localhost/replica:0/task:0/device:MUSA:0,1173.0,1.173
RCjd8zmJbh,Mean,/job:localhost/replica:0/task:0/device:MUSA:0,1173.0,1.173
1JoDpnvbEk,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1173.0,1.173
0oQ6HSB7R1,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1173.0,1.173
4Q2pTPrevJ,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1172.0,1.172
vlUqrEV1xt,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1172.0,1.172
L54RuswyIa,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1172.0,1.172
krmCKTew2F,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1170.0,1.17
ConstantFolding/pbxQ97ftHJ_const_axis,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,1169.0,1.169
Q7bcwfuUv6,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1168.0,1.168
3dtGcJ42Ek,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1168.0,1.168
z9psGSfBqV,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1167.0,1.167
8DvxKWCNGu,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1166.0,1.166
DmNLt3sU4M,Equal,/job:localhost/replica:0/task:0/device:MUSA:0,1166.0,1.166
7B4GPWCFrd,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1166.0,1.166
gCbtPl2W5k,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1165.0,1.165
PCWoTbBZX3,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1165.0,1.165
91O84hfuC7,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1165.0,1.165
z2UXSc0Qny,Sigmoid,/job:localhost/replica:0/task:0/device:MUSA:0,1164.0,1.164
ConstantFolding/emCFzjnNEg_const_axis,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,1164.0,1.164
bjQGINx1pe,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1164.0,1.164
UpWx4QcLde,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1162.0,1.162
SmovxtgDE2,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1162.0,1.162
L7sDdZQiyG,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1161.0,1.161
c3g9I1hdjN,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1160.0,1.16
sIpAWxgPer,Equal,/job:localhost/replica:0/task:0/device:MUSA:0,1159.0,1.159
MaGTyeSs4E,StridedSlice,/job:localhost/replica:0/task:0/device:MUSA:0,1158.0,1.158
p4gXeAwiyl,Equal,/job:localhost/replica:0/task:0/device:MUSA:0,1156.0,1.156
MRL3WHjy0N,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1156.0,1.156
9MPLpwESB0,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1155.0,1.155
BPdxjWGkmK,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1155.0,1.155
NTL2ZEIXkr,Greater,/job:localhost/replica:0/task:0/device:MUSA:0,1155.0,1.155
V3Rpiv7YdO,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1154.0,1.154
TKsvkJaniG,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1153.0,1.153
WXLAZ5SFMl,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1152.0,1.152
4jU6IDFtwZ,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,1152.0,1.152
czb0nuxXa9,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1148.0,1.148
tWp8wnM3Pl,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1147.0,1.147
TEWyq4S21w,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1146.0,1.146
H1etncWw6X,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1146.0,1.146
85WKAvis74,ConcatV2,/job:localhost/replica:0/task:0/device:MUSA:0,1146.0,1.146
JRSWDvh5fm,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1145.0,1.145
Z6jshSCIHw,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1145.0,1.145
kcgbUnN4xz,Cast,/job:localhost/replica:0/task:0/device:MUSA:0,1143.0,1.143
KxHlFWgwvy,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1141.0,1.141
pP368JjIoE,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1140.0,1.14
AMIUWDERa3,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1140.0,1.14
Tq4kDK9P0d,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1139.0,1.139
XR4NkG0wK1,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1139.0,1.139
FUsvHobWSc,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1139.0,1.139
yqW4mAJ9pn,Equal,/job:localhost/replica:0/task:0/device:MUSA:0,1138.0,1.138
meXuZpYcaf,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1138.0,1.138
ZlPFoQHeac,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1137.0,1.137
nuspVQ032q,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1136.0,1.136
PcQKO3IEiS,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1136.0,1.136
gsB7PdI5UG,Less,/job:localhost/replica:0/task:0/device:MUSA:0,1134.0,1.134
UQ2fxSug1i,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1134.0,1.134
ConstantFolding/K2hDY4wcIa_const_axis,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,1133.0,1.133
O4LQNg8rKh,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1133.0,1.133
FgQTk6zvHq,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1132.0,1.132
VlkPmUwoaz,Equal,/job:localhost/replica:0/task:0/device:MUSA:0,1131.0,1.131
16qwDNrcby,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1130.0,1.13
umAJVERS17,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1129.0,1.129
CH67zsca3i,ConcatV2,/job:localhost/replica:0/task:0/device:MUSA:0,1129.0,1.129
pT5fwlYatB,Fill,/job:localhost/replica:0/task:0/device:MUSA:0,1128.0,1.128
qo1z3NGPRs,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1128.0,1.128
CXbyL9IHuG,ConcatV2,/job:localhost/replica:0/task:0/device:MUSA:0,1127.0,1.127
RLPiUs65wM,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1127.0,1.127
TPuJyadMjb,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1127.0,1.127
E3zk6udwhR,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1126.0,1.126
WjzgMd3Kv9,Cast,/job:localhost/replica:0/task:0/device:MUSA:0,1126.0,1.126
u2J1kTxUin,Fill,/job:localhost/replica:0/task:0/device:MUSA:0,1126.0,1.126
6cQmgH7Rkt,Equal,/job:localhost/replica:0/task:0/device:MUSA:0,1126.0,1.126
oEwfPp4Ihd,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1125.0,1.125
l4QMRpiSxq,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1125.0,1.125
W35Y1NrocU,Select,/job:localhost/replica:0/task:0/device:MUSA:0,1124.0,1.124
EpGr5QZgoy,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1124.0,1.124
NmXojIrOyd,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1124.0,1.124
ConstantFolding/4jUPEnxl7X_const_axis,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,1123.0,1.123
aQjzD90AJk,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1123.0,1.123
2fpvZyd5ue,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1123.0,1.123
ConstantFolding/Kifbv8qD60_const_axis,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,1122.0,1.122
aMXdC7sOLt,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1121.0,1.121
1Jnf2UZM9L,Reshape,/job:localhost/replica:0/task:0/device:MUSA:0,1121.0,1.121
E4wfHdiGhB,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1121.0,1.121
ConstantFolding/oSh7smfZCJ_const_axis,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,1120.0,1.12
9GBVWH7UfN,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1120.0,1.12
YHBpUA2J3o,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1120.0,1.12
cFv0KDEBXh,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1120.0,1.12
HTp3KQbEsa,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1119.0,1.119
l6JOqXVgfy,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1119.0,1.119
OJosWIEg8x,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1118.0,1.118
cd2B4LsawU,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1117.0,1.117
HxzpX1egAV,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1117.0,1.117
dYVwDFO8tf,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,1117.0,1.117
2wivYnADp6,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1117.0,1.117
o2eAyHbntr,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1115.0,1.115
AxUrR27L3m,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1115.0,1.115
FskEVGxzAS,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1115.0,1.115
B19z3Tw2jL,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1113.0,1.113
IpAVRT4Mjq,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1113.0,1.113
vEyC0MDAFx,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1111.0,1.111
yzNTtARg4S,Prod,/job:localhost/replica:0/task:0/device:MUSA:0,1111.0,1.111
