op_type,device,count,time_us,time_ms,avg_us_per_call
MatMul,/job:localhost/replica:0/task:0/device:GPU:0,264,11766.0,11.766,44.56818181818182
Slice,/job:localhost/replica:0/task:0/device:GPU:0,890,8420.0,8.42,9.460674157303371
GatherV2,/job:localhost/replica:0/task:0/device:GPU:0,66,4955.0,4.955,75.07575757575758
ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,144,3769.0,3.769,26.17361111111111
BatchMatMulV2,/job:localhost/replica:0/task:0/device:GPU:0,27,2565.0,2.565,95.0
Const,/job:localhost/replica:0/task:0/device:GPU:0,392,1529.0,1.529,3.9005102040816326
BiasAdd,/job:localhost/replica:0/task:0/device:GPU:0,226,1469.0,1.469,6.5
Prod,/job:localhost/replica:0/task:0/device:GPU:0,83,1196.0,1.196,14.409638554216867
Pack,/job:localhost/replica:0/task:0/device:GPU:0,69,1133.0,1.133,16.420289855072465
Softmax,/job:localhost/replica:0/task:0/device:GPU:0,15,703.0,0.703,46.86666666666667
Cast,/job:localhost/replica:0/task:0/device:GPU:0,24,672.0,0.672,28.0
Pow,/job:localhost/replica:0/task:0/device:GPU:0,60,624.0,0.624,10.4
Placeholder,/job:localhost/replica:0/task:0/device:CPU:0,377,535.0,0.535,1.4190981432360743
StridedSlice,/job:localhost/replica:0/task:0/device:GPU:0,37,465.0,0.465,12.567567567567568
RealDiv,/job:localhost/replica:0/task:0/device:GPU:0,42,449.0,0.449,10.69047619047619
Sub,/job:localhost/replica:0/task:0/device:GPU:0,46,400.0,0.4,8.695652173913043
AddV2,/job:localhost/replica:0/task:0/device:GPU:0,42,375.0,0.375,8.928571428571429
Split,/job:localhost/replica:0/task:0/device:GPU:0,34,342.0,0.342,10.058823529411764
Add,/job:localhost/replica:0/task:0/device:GPU:0,46,315.0,0.315,6.8478260869565215
Neg,/job:localhost/replica:0/task:0/device:GPU:0,28,289.0,0.289,10.321428571428571
Reshape,/job:localhost/replica:0/task:0/device:GPU:0,109,255.0,0.255,2.3394495412844036
Rsqrt,/job:localhost/replica:0/task:0/device:GPU:0,29,255.0,0.255,8.793103448275861
Transpose,/job:localhost/replica:0/task:0/device:GPU:0,34,229.0,0.229,6.735294117647059
Log,/job:localhost/replica:0/task:0/device:GPU:0,28,221.0,0.221,7.892857142857143
Relu,/job:localhost/replica:0/task:0/device:GPU:0,45,190.0,0.19,4.222222222222222
LeakyRelu,/job:localhost/replica:0/task:0/device:GPU:0,32,178.0,0.178,5.5625
Mul,/job:localhost/replica:0/task:0/device:GPU:0,22,167.0,0.167,7.590909090909091
Tanh,/job:localhost/replica:0/task:0/device:GPU:0,13,136.0,0.136,10.461538461538462
ExpandDims,/job:localhost/replica:0/task:0/device:GPU:0,47,109.0,0.109,2.3191489361702127
Mean,/job:localhost/replica:0/task:0/device:GPU:0,10,77.0,0.077,7.7
Shape,/job:localhost/replica:0/task:0/device:GPU:0,20,55.0,0.055,2.75
Sigmoid,/job:localhost/replica:0/task:0/device:GPU:0,5,44.0,0.044,8.8
Sum,/job:localhost/replica:0/task:0/device:GPU:0,4,33.0,0.033,8.25
SquaredDifference,/job:localhost/replica:0/task:0/device:GPU:0,4,28.0,0.028,7.0
AddN,/job:localhost/replica:0/task:0/device:GPU:0,1,20.0,0.02,20.0
StopGradient,/job:localhost/replica:0/task:0/device:GPU:0,5,7.0,0.007,1.4
Range,/job:localhost/replica:0/task:0/device:GPU:0,1,7.0,0.007,7.0
RealDiv,/job:localhost/replica:0/task:0/device:CPU:0,2,7.0,0.007,3.5
StridedSlice,/job:localhost/replica:0/task:0/device:CPU:0,1,5.0,0.005,5.0
Sub,/job:localhost/replica:0/task:0/device:CPU:0,1,1.0,0.001,1.0
Tanh,/job:localhost/replica:0/task:0/device:CPU:0,1,1.0,0.001,1.0
Unknown,/job:localhost/replica:0/task:0/device:GPU:0,1,0.0,0.0,0.0
Unknown,/job:localhost/replica:0/task:0/device:CPU:0,1,0.0,0.0,0.0
