node_name,op_type,device,time_us,time_ms
7FTwLhA5Qa,SplitV,/job:localhost/replica:0/task:0/device:GPU:0,4429.0,4.429
FnShOs3rlb,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,1019.0,1.019
Nt0UubvYpm,Where,/job:localhost/replica:0/task:0/device:GPU:0,726.0,0.726
Sp0J7ZN93m,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,714.0,0.714
4XKnuOhVbE,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,503.0,0.503
4hjWyrRHb1,Where,/job:localhost/replica:0/task:0/device:GPU:0,367.0,0.367
ieZVQTX0Ib,Where,/job:localhost/replica:0/task:0/device:GPU:0,349.0,0.349
ZgBYaSW5cC,Where,/job:localhost/replica:0/task:0/device:GPU:0,345.0,0.345
psqZoARVzd,Where,/job:localhost/replica:0/task:0/device:GPU:0,311.0,0.311
Xpc2DHq1nB,Where,/job:localhost/replica:0/task:0/device:GPU:0,300.0,0.3
HOf5Pux4Ap,Where,/job:localhost/replica:0/task:0/device:GPU:0,281.0,0.281
q6MfHxbtrh,Where,/job:localhost/replica:0/task:0/device:GPU:0,268.0,0.268
MFfcV9OwNX,Where,/job:localhost/replica:0/task:0/device:GPU:0,264.0,0.264
1GH2C4TP57,Where,/job:localhost/replica:0/task:0/device:GPU:0,257.0,0.257
WIAqHnbuJ0,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,226.0,0.226
I9bBlQnodR,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,220.0,0.22
kIHUr1Eqle,Where,/job:localhost/replica:0/task:0/device:GPU:0,216.0,0.216
f4xlBZ0yMU,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,216.0,0.216
vHUCB3kgA1,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,185.0,0.185
gRSnKcPyfT,Where,/job:localhost/replica:0/task:0/device:GPU:0,178.0,0.178
jCFJ5Y1pen,Prod,/job:localhost/replica:0/task:0/device:GPU:0,171.0,0.171
siyHApILgY,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,170.0,0.17
gQ2l4SXUfu,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,167.0,0.167
J6DBpqxQ72,StridedSlice,/job:localhost/replica:0/task:0/device:GPU:0,154.0,0.154
jgq2RN3tMf,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,153.0,0.153
_arg_4n7Lh5GaZg_0_135,Placeholder,/job:localhost/replica:0/task:0/device:CPU:0,152.0,0.152
0FCHDQMcNp,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,151.0,0.151
rXBSnujkfq,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,147.0,0.147
dEVrTOBUKs,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,137.0,0.137
hzZBspCIQM,Tile,/job:localhost/replica:0/task:0/device:GPU:0,136.0,0.136
WsJQl7THk3,GatherV2,/job:localhost/replica:0/task:0/device:GPU:0,136.0,0.136
gMdv0h4OFb,Where,/job:localhost/replica:0/task:0/device:GPU:0,135.0,0.135
yQmoxWTzvV,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,134.0,0.134
kiMK3BZWm6,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,132.0,0.132
iWotTxOdGz,Where,/job:localhost/replica:0/task:0/device:GPU:0,130.0,0.13
H4Qrq1i3gy,BatchMatMulV2,/job:localhost/replica:0/task:0/device:GPU:0,129.0,0.129
3s1fuZyJGl,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,127.0,0.127
gcZHbqMku7,Where,/job:localhost/replica:0/task:0/device:GPU:0,123.0,0.123
vr0l4ZOsNC,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,120.0,0.12
iGfZQyCg9o,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,120.0,0.12
BMn3gDuLxs,GatherV2,/job:localhost/replica:0/task:0/device:GPU:0,119.0,0.119
Lk9aW5fj6X,Cast,/job:localhost/replica:0/task:0/device:GPU:0,116.0,0.116
toeGKWXaQd,Equal,/job:localhost/replica:0/task:0/device:CPU:0,115.0,0.115
oPCnw2zxuH,GatherV2,/job:localhost/replica:0/task:0/device:GPU:0,115.0,0.115
HnpZbzI0AK,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,113.0,0.113
sIyhO8aLHr,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,111.0,0.111
nYev1Jw4Er,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,108.0,0.108
ADOKeFf3rp,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,107.0,0.107
xrLfITnB7M,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,105.0,0.105
i1p5R6AzrZ,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,105.0,0.105
qawneSWlJ0,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,101.0,0.101
Dj8ORnAL1M,Mean,/job:localhost/replica:0/task:0/device:GPU:0,101.0,0.101
U2kayP5bJ3,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,100.0,0.1
zpuG2gQZcw,Where,/job:localhost/replica:0/task:0/device:GPU:0,96.0,0.096
vf1R6gdyKH,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,95.0,0.095
uZdPmoyLzq,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,95.0,0.095
VTBExmMo4c,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,94.0,0.094
tTMv4SUxNY,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,94.0,0.094
3VCPRI2U8g,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,93.0,0.093
PZ7rGBLKSd,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,93.0,0.093
zPTpFotVba,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,93.0,0.093
vW7CJ14rgH,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,93.0,0.093
Gm56Zf7yBJ,GatherV2,/job:localhost/replica:0/task:0/device:GPU:0,92.0,0.092
XhoErm9kHz,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,91.0,0.091
9SOuYmqHi5,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,91.0,0.091
k4p89TYsLb,NotEqual,/job:localhost/replica:0/task:0/device:GPU:0,90.0,0.09
hngQojL1Zi,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,88.0,0.088
7PxsJf6avn,BatchMatMulV2,/job:localhost/replica:0/task:0/device:GPU:0,88.0,0.088
VBxfr9HF6D,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,87.0,0.087
8nGDPvAb07,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,87.0,0.087
X9MeAgiQ85,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,86.0,0.086
F5JouaA19m,AddN,/job:localhost/replica:0/task:0/device:GPU:0,85.0,0.085
Q9c4iIsHgF,Equal,/job:localhost/replica:0/task:0/device:GPU:0,84.0,0.084
eJyU1D0Wjp,StridedSlice,/job:localhost/replica:0/task:0/device:GPU:0,83.0,0.083
YLWORbjNuC,Mean,/job:localhost/replica:0/task:0/device:GPU:0,81.0,0.081
gNtZpwVTWi,GatherV2,/job:localhost/replica:0/task:0/device:GPU:0,81.0,0.081
Va5ts2gNwL,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,80.0,0.08
T4qZS0shcX,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,80.0,0.08
YV6ogUPZxG,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,78.0,0.078
BeLKRsAbXJ,Slice,/job:localhost/replica:0/task:0/device:GPU:0,77.0,0.077
J1YcUwXfL0,BatchMatMulV2,/job:localhost/replica:0/task:0/device:GPU:0,77.0,0.077
0uLgxB7HEc,Const,/job:localhost/replica:0/task:0/device:CPU:0,75.0,0.075
G7jgiY56xR,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,75.0,0.075
GeOv1ILpf7,AddV2,/job:localhost/replica:0/task:0/device:GPU:0,74.0,0.074
ygdHJxUSC7,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,73.0,0.073
8UJPuXA4Cf,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,72.0,0.072
toiRl231Qr,Mul,/job:localhost/replica:0/task:0/device:GPU:0,72.0,0.072
Z34NlPnoWj,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,72.0,0.072
VQPWb7N5Hk,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,72.0,0.072
bkHP5X4SRT,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,71.0,0.071
rviNp5Oqls,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,71.0,0.071
hPma0YdFvg,Fill,/job:localhost/replica:0/task:0/device:GPU:0,70.0,0.07
m9QDYV1K8L,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,70.0,0.07
nt2yTdRINB,BatchMatMulV2,/job:localhost/replica:0/task:0/device:GPU:0,69.0,0.069
T6SCDothzB,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,69.0,0.069
8Yh2XP4tVO,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,68.0,0.068
Myc054fehR,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,68.0,0.068
ep0K9txs3T,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,67.0,0.067
iFJCuS29OI,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,67.0,0.067
6pnxCS3FJq,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,67.0,0.067
0knx1puayw,Prod,/job:localhost/replica:0/task:0/device:GPU:0,67.0,0.067
wefy74xms8,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,67.0,0.067
aNo4TBrmuS,Mean,/job:localhost/replica:0/task:0/device:GPU:0,64.0,0.064
sHjGhA9Q85,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,64.0,0.064
yerw6hj93f,LogicalOr,/job:localhost/replica:0/task:0/device:GPU:0,63.0,0.063
I6fgZAUoVL,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,63.0,0.063
DE1a3xgR9q,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,63.0,0.063
fI2EBFbcdV,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,63.0,0.063
YutkiyAJE6,BatchMatMulV2,/job:localhost/replica:0/task:0/device:GPU:0,62.0,0.062
QqzbUd2McB,Equal,/job:localhost/replica:0/task:0/device:GPU:0,61.0,0.061
6SxuMWVwFb,Mean,/job:localhost/replica:0/task:0/device:GPU:0,61.0,0.061
0PuWY537xz,Prod,/job:localhost/replica:0/task:0/device:GPU:0,61.0,0.061
S4bAcKgy63,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,60.0,0.06
A8EVh1RwCa,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,60.0,0.06
Hv4eR1ra5D,BatchMatMulV2,/job:localhost/replica:0/task:0/device:GPU:0,60.0,0.06
FZg51Ru9wa,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,60.0,0.06
nIbYwAOGd0,Mean,/job:localhost/replica:0/task:0/device:GPU:0,59.0,0.059
vGyZwOkhTo,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,59.0,0.059
HLPcRBlyvC,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,59.0,0.059
P7RlDXCqMH,Prod,/job:localhost/replica:0/task:0/device:GPU:0,59.0,0.059
FhSOEa4qHR,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,58.0,0.058
I9lAfr1wgH,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,58.0,0.058
n0uDgMjPkv,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,58.0,0.058
J4vkDWrHmN,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,57.0,0.057
EsZhdbpiMo,StridedSlice,/job:localhost/replica:0/task:0/device:GPU:0,56.0,0.056
Kc1YGzJ54O,Const,/job:localhost/replica:0/task:0/device:GPU:0,56.0,0.056
lFCwyabck7,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,56.0,0.056
PfmWrCsJxh,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,55.0,0.055
UL7EeJ9cTu,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,55.0,0.055
9OQpPEwXx1,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,55.0,0.055
ReqFWImC0o,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,55.0,0.055
Dpf12UMwoI,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,55.0,0.055
RQOxc2szSK,Equal,/job:localhost/replica:0/task:0/device:GPU:0,54.0,0.054
SPBLdX4ecu,Rsqrt,/job:localhost/replica:0/task:0/device:GPU:0,54.0,0.054
2jhrGRaTsB,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,54.0,0.054
T5HsgmMQD8,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,54.0,0.054
vVawPz3f84,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,54.0,0.054
5crJtGZ64u,Pack,/job:localhost/replica:0/task:0/device:GPU:0,54.0,0.054
pb0mvaAkhQ,Tile,/job:localhost/replica:0/task:0/device:GPU:0,53.0,0.053
lPOyk2HcgY,Prod,/job:localhost/replica:0/task:0/device:GPU:0,52.0,0.052
zDSvWYlpdC,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,52.0,0.052
cAwXMsKSap,StridedSlice,/job:localhost/replica:0/task:0/device:GPU:0,51.0,0.051
x1F7lzva96,StridedSlice,/job:localhost/replica:0/task:0/device:GPU:0,51.0,0.051
BGON3wkR7r,AddN,/job:localhost/replica:0/task:0/device:GPU:0,51.0,0.051
7oLugdeGCp,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,51.0,0.051
j2VE9NCDYZ,Const,/job:localhost/replica:0/task:0/device:GPU:0,50.0,0.05
ZFLjUch5Tw,Add,/job:localhost/replica:0/task:0/device:GPU:0,50.0,0.05
QI4N9bJxMH,Fill,/job:localhost/replica:0/task:0/device:GPU:0,50.0,0.05
YlaP4B8XcK,Cast,/job:localhost/replica:0/task:0/device:GPU:0,49.0,0.049
UPqj5LlFwM,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,49.0,0.049
0ti4d8Jpg2,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,49.0,0.049
sjBS9WQ3NU,Mul,/job:localhost/replica:0/task:0/device:GPU:0,48.0,0.048
UmywWD5RHG,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,48.0,0.048
R2lnhPBWNT,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,48.0,0.048
GHs7dvtr3o,Prod,/job:localhost/replica:0/task:0/device:GPU:0,48.0,0.048
QeVmBihZkO,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,48.0,0.048
ozLSmyBHJX,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,48.0,0.048
IBcr2iUkED,Const,/job:localhost/replica:0/task:0/device:GPU:0,47.0,0.047
iyT7wkP2te,StridedSlice,/job:localhost/replica:0/task:0/device:GPU:0,47.0,0.047
1SGpHKeyQU,Prod,/job:localhost/replica:0/task:0/device:GPU:0,47.0,0.047
hF1yDUz6g8,Minimum,/job:localhost/replica:0/task:0/device:GPU:0,47.0,0.047
zf6Olmy7PB,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,47.0,0.047
HRKi0LlngY,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,47.0,0.047
AeqjQUwSHZ,Const,/job:localhost/replica:0/task:0/device:GPU:0,46.0,0.046
vr4A6FJTkZ,Equal,/job:localhost/replica:0/task:0/device:GPU:0,46.0,0.046
Xq2Zw0sPV5,StridedSlice,/job:localhost/replica:0/task:0/device:GPU:0,46.0,0.046
cxRFM75yrQ,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,46.0,0.046
2BzlVRFA9n,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,46.0,0.046
PfzlVMykIn,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,46.0,0.046
laPKkxtuYH,ZerosLike,/job:localhost/replica:0/task:0/device:GPU:0,45.0,0.045
v0Qo2I7bOZ,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,45.0,0.045
x2hrs1KEqT,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,45.0,0.045
V25lD7PuYz,Maximum,/job:localhost/replica:0/task:0/device:GPU:0,44.0,0.044
fkN1TFcHdp,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,44.0,0.044
Zr0iOHPDjt,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,44.0,0.044
e5Sb24WIFN,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,44.0,0.044
htQTIGYykC,Prod,/job:localhost/replica:0/task:0/device:GPU:0,43.0,0.043
wL72aQAuKl,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,43.0,0.043
875IiqBSJl,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,43.0,0.043
J9GEX2u4tZ,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,43.0,0.043
l4Pxvi7OYM,Const,/job:localhost/replica:0/task:0/device:GPU:0,42.0,0.042
JHcxODVUYR,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,42.0,0.042
aik4TmPj1M,NotEqual,/job:localhost/replica:0/task:0/device:GPU:0,42.0,0.042
qvSUg41lA2,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,42.0,0.042
PBeqWLuMRr,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,42.0,0.042
zpi1LF4JVw,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,42.0,0.042
1qXClGKuYz,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,42.0,0.042
m7ez1KoW8B,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,42.0,0.042
UNsrWIFOD8,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,42.0,0.042
jdVmRKXoJc,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,42.0,0.042
tzFmMsSwjL,Const,/job:localhost/replica:0/task:0/device:GPU:0,41.0,0.041
prWR2fEP4N,Fill,/job:localhost/replica:0/task:0/device:GPU:0,41.0,0.041
dyIKjcF8DZ,StridedSlice,/job:localhost/replica:0/task:0/device:GPU:0,41.0,0.041
jqn6VLy8zp,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,41.0,0.041
xLVj0GTX5v,Select,/job:localhost/replica:0/task:0/device:GPU:0,41.0,0.041
sFELBkcNCh,AddN,/job:localhost/replica:0/task:0/device:GPU:0,41.0,0.041
