op_type,device,count,time_us,time_ms,avg_us_per_call
StopGradient,/job:localhost/replica:0/task:0/device:GPU:0,38,62.0,0.062,1.631578947368421
ExpandDims,/job:localhost/replica:0/task:0/device:GPU:0,37,58.0,0.058,1.5675675675675675
Split,/job:localhost/replica:0/task:0/device:GPU:0,3,34.0,0.034,11.333333333333334
RandomUniform,/job:localhost/replica:0/task:0/device:GPU:0,5,33.0,0.033,6.6
Less,/job:localhost/replica:0/task:0/device:GPU:0,5,31.0,0.031,6.2
Prod,/job:localhost/replica:0/task:0/device:CPU:0,12,25.0,0.025,2.0833333333333335
Square,/job:localhost/replica:0/task:0/device:GPU:0,2,17.0,0.017,8.5
LogicalNot,/job:localhost/replica:0/task:0/device:GPU:0,2,15.0,0.015,7.5
DiagPart,/job:localhost/replica:0/task:0/device:GPU:0,1,11.0,0.011,11.0
Mean,/job:localhost/replica:0/task:0/device:CPU:0,5,10.0,0.01,2.0
Identity,/job:localhost/replica:0/task:0/device:CPU:0,1,8.0,0.008,8.0
Sqrt,/job:localhost/replica:0/task:0/device:GPU:0,2,3.0,0.003,1.5
Identity,/job:localhost/replica:0/task:0/device:GPU:0,1,1.0,0.001,1.0
Unknown,/job:localhost/replica:0/task:0/device:CPU:0,1,0.0,0.0,0.0
Unknown,/job:localhost/replica:0/task:0/device:GPU:0,1,0.0,0.0,0.0
