op_type,device,count,time_us,time_ms,avg_us_per_call
ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,179,9826.0,9.826,54.89385474860335
MatMul,/job:localhost/replica:0/task:0/device:GPU:0,299,7899.0,7.899,26.418060200668897
Const,/job:localhost/replica:0/task:0/device:GPU:0,4293,7866.0,7.866,1.8322851153039832
SplitV,/job:localhost/replica:0/task:0/device:GPU:0,3,4476.0,4.476,1492.0
Where,/job:localhost/replica:0/task:0/device:GPU:0,16,4346.0,4.346,271.625
Placeholder,/job:localhost/replica:0/task:0/device:CPU:0,1782,1823.0,1.823,1.0230078563411897
StridedSlice,/job:localhost/replica:0/task:0/device:GPU:0,167,1803.0,1.803,10.796407185628743
Prod,/job:localhost/replica:0/task:0/device:GPU:0,140,1746.0,1.746,12.471428571428572
BiasAdd,/job:localhost/replica:0/task:0/device:GPU:0,230,1520.0,1.52,6.608695652173913
Pow,/job:localhost/replica:0/task:0/device:GPU:0,202,1418.0,1.418,7.01980198019802
Mul,/job:localhost/replica:0/task:0/device:GPU:0,156,1343.0,1.343,8.60897435897436
RealDiv,/job:localhost/replica:0/task:0/device:GPU:0,189,1232.0,1.232,6.518518518518518
Mean,/job:localhost/replica:0/task:0/device:GPU:0,75,1162.0,1.162,15.493333333333334
Sub,/job:localhost/replica:0/task:0/device:GPU:0,159,1113.0,1.113,7.0
BatchMatMulV2,/job:localhost/replica:0/task:0/device:GPU:0,32,1025.0,1.025,32.03125
AddN,/job:localhost/replica:0/task:0/device:GPU:0,64,973.0,0.973,15.203125
Add,/job:localhost/replica:0/task:0/device:GPU:0,122,944.0,0.944,7.737704918032787
AddV2,/job:localhost/replica:0/task:0/device:GPU:0,134,932.0,0.932,6.955223880597015
Select,/job:localhost/replica:0/task:0/device:GPU:0,85,899.0,0.899,10.576470588235294
Reshape,/job:localhost/replica:0/task:0/device:GPU:0,506,893.0,0.893,1.7648221343873518
GatherV2,/job:localhost/replica:0/task:0/device:GPU:0,23,868.0,0.868,37.73913043478261
Fill,/job:localhost/replica:0/task:0/device:GPU:0,57,703.0,0.703,12.333333333333334
Relu,/job:localhost/replica:0/task:0/device:GPU:0,123,696.0,0.696,5.658536585365853
Equal,/job:localhost/replica:0/task:0/device:GPU:0,29,596.0,0.596,20.551724137931036
Cast,/job:localhost/replica:0/task:0/device:GPU:0,47,584.0,0.584,12.425531914893616
Shape,/job:localhost/replica:0/task:0/device:GPU:0,134,472.0,0.472,3.5223880597014925
Pack,/job:localhost/replica:0/task:0/device:GPU:0,101,415.0,0.415,4.108910891089109
NotEqual,/job:localhost/replica:0/task:0/device:GPU:0,32,402.0,0.402,12.5625
Sum,/job:localhost/replica:0/task:0/device:GPU:0,38,381.0,0.381,10.026315789473685
Tile,/job:localhost/replica:0/task:0/device:GPU:0,28,378.0,0.378,13.5
Slice,/job:localhost/replica:0/task:0/device:GPU:0,16,352.0,0.352,22.0
Maximum,/job:localhost/replica:0/task:0/device:GPU:0,38,318.0,0.318,8.368421052631579
Rsqrt,/job:localhost/replica:0/task:0/device:GPU:0,37,280.0,0.28,7.5675675675675675
Minimum,/job:localhost/replica:0/task:0/device:GPU:0,37,254.0,0.254,6.864864864864865
SquaredDifference,/job:localhost/replica:0/task:0/device:GPU:0,33,247.0,0.247,7.484848484848484
Log,/job:localhost/replica:0/task:0/device:GPU:0,28,210.0,0.21,7.5
Unpack,/job:localhost/replica:0/task:0/device:GPU:0,50,199.0,0.199,3.98
Squeeze,/job:localhost/replica:0/task:0/device:GPU:0,53,193.0,0.193,3.641509433962264
Transpose,/job:localhost/replica:0/task:0/device:GPU:0,19,185.0,0.185,9.736842105263158
LogicalOr,/job:localhost/replica:0/task:0/device:GPU:0,15,177.0,0.177,11.8
Tanh,/job:localhost/replica:0/task:0/device:GPU:0,19,162.0,0.162,8.526315789473685
Sigmoid,/job:localhost/replica:0/task:0/device:GPU:0,15,140.0,0.14,9.333333333333334
LogicalAnd,/job:localhost/replica:0/task:0/device:GPU:0,13,130.0,0.13,10.0
Sign,/job:localhost/replica:0/task:0/device:GPU:0,9,125.0,0.125,13.88888888888889
Equal,/job:localhost/replica:0/task:0/device:CPU:0,1,115.0,0.115,115.0
Neg,/job:localhost/replica:0/task:0/device:GPU:0,20,114.0,0.114,5.7
ZerosLike,/job:localhost/replica:0/task:0/device:GPU:0,7,113.0,0.113,16.142857142857142
Softmax,/job:localhost/replica:0/task:0/device:GPU:0,5,113.0,0.113,22.6
IsNan,/job:localhost/replica:0/task:0/device:GPU:0,15,91.0,0.091,6.066666666666666
Greater,/job:localhost/replica:0/task:0/device:GPU:0,4,88.0,0.088,22.0
Exp,/job:localhost/replica:0/task:0/device:GPU:0,16,82.0,0.082,5.125
Const,/job:localhost/replica:0/task:0/device:CPU:0,1,75.0,0.075,75.0
