node_name,op_type,device,time_us,time_ms
IKepuUN205,Slice,/job:localhost/replica:0/task:0/device:GPU:0,564.0,0.564
XMNJcWknpm,Slice,/job:localhost/replica:0/task:0/device:GPU:0,550.0,0.55
mqCHJsV7rj,Slice,/job:localhost/replica:0/task:0/device:GPU:0,517.0,0.517
J7qFizNtnA,Slice,/job:localhost/replica:0/task:0/device:GPU:0,427.0,0.427
jw9DROUiMs,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,411.0,0.411
L0SpwQW5q1,RealDiv,/job:localhost/replica:0/task:0/device:GPU:0,380.0,0.38
AELpXGoDSB,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,303.0,0.303
zNMZ9FRWQX,Conv2D,/job:localhost/replica:0/task:0/device:GPU:0,240.0,0.24
tcDRM9uBYQ,Slice,/job:localhost/replica:0/task:0/device:GPU:0,222.0,0.222
ylAc08CoPD,Const,/job:localhost/replica:0/task:0/device:GPU:0,202.0,0.202
DWjBLadqYt,Conv2D,/job:localhost/replica:0/task:0/device:GPU:0,200.0,0.2
EKGzRQcgkb,Unpack,/job:localhost/replica:0/task:0/device:GPU:0,198.0,0.198
AH36KO9Cd8,Const,/job:localhost/replica:0/task:0/device:GPU:0,196.0,0.196
QXlrhnUiJM,Const,/job:localhost/replica:0/task:0/device:GPU:0,179.0,0.179
cmMYZBJWT2,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,171.0,0.171
GDYxZ8dBo7,Const,/job:localhost/replica:0/task:0/device:GPU:0,154.0,0.154
CH67zsca3i,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,154.0,0.154
pxdfW5TXtY,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,152.0,0.152
vebgFBhHSz,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,150.0,0.15
OnsW7tURlo,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,148.0,0.148
4HqX9gou1d,Const,/job:localhost/replica:0/task:0/device:GPU:0,146.0,0.146
uwGiDAXWZP,Slice,/job:localhost/replica:0/task:0/device:GPU:0,144.0,0.144
71PJr9ZVKD,Const,/job:localhost/replica:0/task:0/device:GPU:0,142.0,0.142
wzgrt3TZpm,Const,/job:localhost/replica:0/task:0/device:GPU:0,142.0,0.142
2GrsPLTjpW,Const,/job:localhost/replica:0/task:0/device:GPU:0,138.0,0.138
hHyMTDer9R,Const,/job:localhost/replica:0/task:0/device:GPU:0,134.0,0.134
QSJwlCaLNo,Const,/job:localhost/replica:0/task:0/device:GPU:0,134.0,0.134
OvlKQRMUbi,Const,/job:localhost/replica:0/task:0/device:GPU:0,131.0,0.131
10K7qYj4QX,Const,/job:localhost/replica:0/task:0/device:GPU:0,125.0,0.125
KUnLkXFQ8N,Const,/job:localhost/replica:0/task:0/device:GPU:0,122.0,0.122
TLq8nMNxGX,Const,/job:localhost/replica:0/task:0/device:GPU:0,117.0,0.117
FrmCxHi4Sf,Const,/job:localhost/replica:0/task:0/device:GPU:0,113.0,0.113
owW9picK8s,Const,/job:localhost/replica:0/task:0/device:GPU:0,111.0,0.111
xfgcGkOdtU,Const,/job:localhost/replica:0/task:0/device:GPU:0,109.0,0.109
3gCfn8y6GK,Split,/job:localhost/replica:0/task:0/device:GPU:0,106.0,0.106
iIQjnEP45B,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,101.0,0.101
A5dJW3nrsp,ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,101.0,0.101
ibCPISoydG,Const,/job:localhost/replica:0/task:0/device:GPU:0,97.0,0.097
p6Kkgd4ScA,Const,/job:localhost/replica:0/task:0/device:GPU:0,97.0,0.097
GSwFAaH7gI,Const,/job:localhost/replica:0/task:0/device:GPU:0,95.0,0.095
qn0KWE1B4N,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,92.0,0.092
kFImQCdONj,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,92.0,0.092
s9afwiuZCz,Const,/job:localhost/replica:0/task:0/device:GPU:0,90.0,0.09
FWDg897x0I,Slice,/job:localhost/replica:0/task:0/device:GPU:0,89.0,0.089
9IjgMsilwo,Const,/job:localhost/replica:0/task:0/device:GPU:0,87.0,0.087
